Drug_Name,Indication
Lamotrigine,"Lamotrigine is indicated as adjunctive therapy for the following seizure types in patients ≥2 years of age: partial seizures, primary generalized tonic-clonic seizures, and generalized seizures due to Lennox-Gastaut syndrome.[L9404] It is also indicated for the process of conversion to drug monotherapy for those at least 16 years of age or older with partial seizures and currently are receiving treatment with carbamazepine, phenytoin, phenobarbital, primidone, or valproate as the single antiepileptic drug (AED).[L9404] In addition to the above, lamotrigine is also indicated for the maintenance treatment of bipolar I disorder, delaying the time to mood episodes (which may include mania, hypomania, depression, mixed episodes) in adults at least 18 years or older, who have been treated for acute mood symptoms with standard therapy.[L9404] Limitations of use It is important to note that lamotirigine should not be used in the treatment of acute mood episodes, as efficacy has not been established in this context.[L9404]"
Lanadelumab,"Lanadelumab is indicated for prophylaxis to prevent attacks in adult and pediatric patients aged 2 years and older with hereditary angioedema.[L45108,L49221] In Canada, it is indicated for use only in adults and adolescents.[L49226]"
Lanolin,"Used as a skin protectant, and to relieve dryness and irritation of the skin [L2586], [L2581]. Helps prevent and treat diaper dermatitis [L2579]."
Lanreotide,"Lanreotide is indicated for the long-term treatment of patients with acromegaly who have had an inadequate response to, or cannot be treated with, surgery and/or radiotherapy.[L41115] It is also indicated in the treatment of adult patients with unresectable, well- or moderately-differentiated, locally advanced or metastatic gastroenteropancreatic neuroendocrine tumors (GEP-NETs) to improve progression-free survival.[L41115] Lanreotide is additionally indicated for the treatment of adults with carcinoid syndrome - when used, it reduces the frequency of short-acting somatostatin analog rescue therapy.[L41115]"
Lansoprazole,"Lansoprazole is used to reduce gastric acid secretion and is approved for short term treatment of active gastric ulcers, active duodenal ulcers, erosive reflux oesophagitis, symptomatic gastroesophageal reflux disease, and non-steroidal anti-inflammatory drug (NSAID) induced gastric and duodenal ulcers. [A4892][A177065][FDA Label] It may be used in the maintenance and healing of several gastric conditions including duodenal ulcers, NSAID related gastric ulcers, and erosive esophagitis.[FDA Label] Lansoprazole prevents recurrence of gastric ulcers in patients who have a documented history of gastric ulcers who also use NSAIDs chronically. [FDA Label] Predictably, it is also useful in the management of hypersecretory conditions including Zollinger-Ellison syndrome. [FDA Label] Lansoprazole is effective at eradicating H. pylori when used in conjunction with amoxicillin and clarithromycin (triple therapy) or with amoxicillin alone (dual therapy). [FDA Label]"
Lanthanum carbonate,Lanthanum carbonate is indicated to reduce serum phosphate in patients with end-stage renal disease (ESRD).[L50733]
Lapatinib,"Indicated in combination with capecitabine for the treatment of patients with advanced or metastatic breast cancer whose tumors overexpress the human epidermal receptor type 2 (HER2) protein and who have received prior therapy including an anthracycline, a taxane, and trastuzumab."
Lapyrium,"Used as a surfactant, antistatic agent, and biocide in cosmetic products [A19426]."
Laronidase,For the treatment of mucopolysaccharidosis
Larotrectinib,"Larotrectinib is a tyrosine kinase inhibitor that is currently indicated for the treatment of adult and pediatric patients with solid tumors that a) have a neurotrophic receptor tyrosine kinase (NTRK) gene fusion without a known acquired resistance mutation, b) are metastatic or where surgical resection is likely to result in severe morbidity, or c) have no satisfactory alternative treatments or that have progressed following treatment.[L49816] These indications are approved under accelerated approval by the US FDA based on overall response rate and duration of response and continuation of support for these indications may be contingent upon the verification and description of continued clinical benefit in confirmatory trials.[L49816]"
Lasmiditan,"Lasmiditan is indicated for the acute treatment of migraine with or without aura in adults.[L9338,L43992]"
Lasofoxifene,"Investigated for use/treatment in postmenopausal osteoporosis to reduce the risk of both vertebral and novertebral fractures, as well as address other postmenopausal conditions, including reduction in risk of breast cancer and treatment of vulvar and vaginal atrophy (VVA)"
Latamoxef,"Latamoxef is an oxacephem antibiotic usually grouped with the cephalosporins. It is used to treat bacterial infections. Latamoxef is primarily indicated in conditions like Bone and joint infection, GI infections, Gynecological infections, Meningitis, Respiratory tract infections, Septicaemia, Skin infections, Soft tissue infections, UTI."
Latanoprost,"Latanoprost is indicated for the reduction of elevated intraocular pressure in patients who have been diagnosed with open-angle glaucoma or ocular hypertension.[L8357,L8402,L44401] It is available as monotherapy or in a combination product with [netarsudil] [L8369] or [timolol].[L15217] In Canada, latanoprost is also indicated to treat elevated intraocular pressure due to angle-closure glaucoma that has been treated with peripheral iridotomy or laser iridoplasty.[L8402]"
Latanoprostene bunod,Latanoprostene bunod opthalmic solution is indicated for the reduction of intraocular pressure in patients with open-angle glaucoma or ocular hypertension [FDA Label].
Lazertinib,"Lazertinib, in combination with [amivantamab], is indicated for the first-line treatment of adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 L858R substitution mutations, as detected by an FDA-approved test.[L51184]"
Lebrikizumab,"Lebrikizumab is approved for the treatment of moderate-to-severe atopic dermatitis in adults and adolescents 12 years and older with a body weight of at least 40 kg who are candidates for systemic therapy.[L49369, L51374]"
Lecanemab,"Lecanemab is indicated for the treatment of Alzheimer’s disease. Treatment with lecanemab should be initiated in patients with mild cognitive impairment or mild dementia stage of disease, the population in which treatment was initiated in clinical trials.[L47231]"
Ledipasvir,"When used in combination with the antiviral medication [sofosbuvir], ledipasvir is indicated for the treatment of treatment of chronic hepatitis C virus (HCV) in adults and pediatric patients 3 years of age and older with the following conditions:[L3547] - Genotype 1, 4, 5, or 6 infection without cirrhosis or with compensated cirrhosis. - Genotype 1 infection with decompensated cirrhosis, in combination with [ribavirin]. - Genotype 1 or 4 infection who are liver transplant recipients without cirrhosis or with compensated cirrhosis, in combination with [ribavirin]. Its use has also proven successful in the treatment of HCV in patients co-infected with HIV [A19627]."
Lefamulin,"Lefamulin is indicated to treat adults diagnosed with community-acquired bacterial pneumonia (CABP) that is caused by susceptible bacteria. Its use should be reserved for confirmed susceptible organisms or a high probability of infection with susceptible organisms. The list of susceptible bacteria includes Streptococcus pneumoniae, Staphylococcus aureus (methicillin-susceptible), Legionella pneumophila, Haemophilus influenza, Chlamydophila pneumoniae, and Mycoplasma pneumoniae.[L8093]"
Leflunomide,For the management of the signs and symptoms of active rheumatoid arthritis (RA) to improve physical function and to slow the progression of structural damage associated with the disease. Has also been used for the prevention of acute and chronic rejection in recipients of solid organ trasnplants and is designated by the FDA as an orphan drug for this use.
Lemborexant,Lemborexant is indicated for the treatment of adult patients with insomnia characterized by difficulties with sleep onset and/or sleep maintenance.[L10863]
Lenacapavir,"Lenacapavir, in combination with other antiretroviral(s), is indicated for the treatment of multidrug-resistant human immunodeficiency virus type 1 (HIV-1) infection in heavily treatment-experienced adults who are experiencing a failure of their current antiretroviral regimen due to resistance, intolerance, or safety considerations.[L42990,L44468]"
Lenalidomide,"Lenalidomide is indicated for the treatment of adult patients with multiple myeloma (MM) in combination with dexamethasone. It is also indicated as maintenance therapy in multiple myeloma following autologous hematopoietic stem cell transplantation (auto-HSCT). It is indicated for the treatment of adult patients with transfusion-dependent anemia due to low- or intermediate-1-risk myelodysplastic syndromes (MDS) associated with a deletion 5q cytogenetic abnormality with or without additional cytogenetic abnormalities. Lenalidomide is indicated for the treatment of adult patients with mantle cell lymphoma (MCL) whose disease has relapsed or progressed after two prior therapies, one of which included bortezomib. In combination with a rituximab product, lenalidomide is indicated for the treatment of adult patients with previously treated follicular lymphoma (FL) or previously treated marginal zone lymphoma (MZL).[L16028]"
Leniolisib,Leniolisib is indicated for the treatment of activated phosphoinositide 3-kinase delta (PI3Kδ) syndrome (APDS) in adult and pediatric patients 12 years of age and older.[L45753]
Lenograstim,"The drug is used to reduce the risk of life-threatening infection in patients with neutropenia, particularly after cytotoxic chemotherapy. Lenograstim is indicated as a treatment to reduce the duration of neutropenia and the severity of infections in patients with non-myeloid malignancy who have undergone autologous or allogeneic bone marrow transplantation, or treatment with established cytotoxic chemotherapy and in addition to reduce the incidence of infection associated with established cytotoxic chemotherapy. Lenograstim is also indicated to mobilise peripheral blood progenitor cells (PBPCs) with Lenograstim alone, or after myelosuppressive chemotherapy, in order to accelerate haematopoietic recovery by infusion of such cells, after myelosuppressive or myeloablative therapy. Lenograstim is also indicated to accelerate the engraftment of these cells after their reinfusion. GRANOCYTE is also indicated for the treatment of severe chronic neutropenia including congenital agranulocytosis (Kostmann's syndrome)."
Lenvatinib,"Lenvatinib is indicated for the treatment of the following cancerous conditions:[L41120] **Differentiated Thyroid Cancer (DTC)** - Treatment of locally recurrent or metastatic, progressive, radioactive iodine-refractory differentiated thyroid cancer **Renal Cell Carcinoma (RCC)** - First-line treatment, in combination with [pembrolizumab], in adult patients with advanced renal cell carcinoma (RCC) - Treatment of advanced renal cell carcinoma, in combination with [everolimus], in adult patients who have previously tried ≥1 anti-angiogenic therapy **Hepatocellular Carcinoma (HCC)** - First-line treatment of patients with unresectable hepatocellular carcinoma **Endometrial Carcinoma** - Treatment of advanced endometrial carcinoma that is not microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR), in combination with [pembrolizumab], in patients who have experienced disease progression following prior systemic therapy and are not candidates for curative surgery or radiation"
Lepirudin,"Lepirudin is indicated for anticoagulation in adult patients with acute coronary syndromes (ACS) such as unstable angina and acute myocardial infarction without ST elevation. In patients with ACS, lepirudin is intended for use with [aspirin].[L41539] Lepirudin is also indicated for anticoagulation in patients with heparin-induced thrombocytopenia (HIT) and associated thromboembolic disease in order to prevent further thromboembolic complications.[L41539]"
Lercanidipine,"For the treatment of Hypertension, management of angina pectoris and Raynaud's syndrome"
Lesinurad,"For use, in combination with a xanthine oxidase inhibitor, for the treatment of hyperuricemia associated with gout in patients who have not achieved target serum uric acid levels with a xanthine oxidase inhibitor alone."
Letermovir,Letermovir is indicated for prophylaxis against cytomegalovirus (CMV) infection and disease in adult recipients of an allogeneic hematopoietic stem cell transplant (HSCT) who are CMV-seropositive.[L46807] It is also indicated for prophylaxis against CMV disease in adult kidney transplant recipients who are at risk (i.e. donor CMV-seropositive/recipient CMV-seronegative).[L46807]
LetibotulinumtoxinA,"LetibotulinumtoxinA is indicated for the temporary improvement of the appearance of moderate-to-severe glabellar lines associated with corrugator and/or procerus muscle activity in adult patients ≤65 years of age.[L42330,L50296]"
Letrozole,"Letrozole is indicated to treat postmenopausal women with hormone receptor (HR) positive early breast cancer, postmenopausal women with early breast cancer who have periviously been treated with tamoxifen, and postmenopausal women with HR+ or unknown advanced breast cancer.[L11623] Letrozole, given with ribociclib, is indicated to treat pre, peri, and postmenopausal women with HR+ and human epidermal growth factor 2 (HER2) negative advanced or metastatic breast cancer.[L11626]"
Leucovorin,"For the treatment of osteosarcoma (after high dose methotrexate therapy). Used to diminish the toxicity and counteract the effects of impaired methotrexate elimination and of inadvertent overdosages of folic acid antagonists, and to treat megaloblastic anemias due to folic acid deficiency. Also used in combination with 5-fluorouracil to prolong survival in the palliative treatment of patients with advanced colorectal cancer."
Leuprolide,"Leuprolide is indicated for the treatment of advanced prostate cancer [L13781, L34415] and as palliative treatment of advanced prostate cancer.[L13790] It is also used for the treatment of pediatric patients with central precocious puberty (CPP).[L13784, L13787] In combination with oral [norethisterone] (also known as norethindrone), leuprolide is also indicated for the initial treatment of the symptoms of endometriosis.[L10310] Finally, in combination with iron supplementation, leuprolide is indicated for the preoperative hematological improvement of anemic patients with uterine leiomyomata (uterine fibroids).[L13814]"
Levacetylmethadol,For the treatment and management of opiate dependence. It is sometimes used to treat severe pain in terminal patients.
Levallorphan,"For the complete or partial reversal of narcotic depression, including respiratory depression, induced by opioids."
Levamisole,For adjuvant treatment in combination with fluorouracil after surgical resection in patients with Dukes' stage C colon cancer. Also used to treat malignant melanoma and head/neck cancer.
Levamlodipine,Levamlodipine is indicated alone or in combination to treat hypertension in adults and children.[L10833]
Levetiracetam,"Levetiracetam is indicated as an adjunctive therapy in the treatment of partial onset seizures in epileptic patients who are one month of age and older. Additionally, it is indicated as an adjunct in the treatment of myoclonic seizures in patients with juvenile myoclonic epilepsy who are 12 years of age and older, and in primary generalized tonic-clonic seizures in patients with idiopathic generalized epilepsy who are 6 years of age and older.[L8606] Levetiracetam is also available as an orally dissolvable tablet that is indicated as an adjunct in the treatment of partial onset seizures in patients with epilepsy who are 4 years of age and older and weigh more than 20kg.[L8609]"
Levmetamfetamine,Used over-the-counter for nasal congestion.
Levobetaxolol,Used in the treatment of open-angle glaucoma and ocular hypertension [FDA Label].
Levobunolol,For lowering intraocular pressure (IOP) and may be used in patients with chronic open-angle glaucoma or ocular hypertension.
Levobupivacaine,"For the production of local or regional anesthesia for surgery and obstetrics, and for post-operative pain management"
Levocabastine,As an ophthalmic for the temporary relief of the signs and symptoms of seasonal allergic conjunctivitis. Also used as a nasal spray for allergic rhinitis.
Levocarnitine,"For treatment of primary systemic carnitine deficiency, a genetic impairment of normal biosynthesis or utilization of levocarnitine from dietary sources, or for the treatment of secondary carnitine deficiency resulting from an inborn error of metabolism such as glutaric aciduria II, methyl malonic aciduria, propionic acidemia, and medium chain fatty acylCoA dehydrogenase deficiency. Used therapeutically to stimulate gastric and pancreatic secretions and in the treatment of hyperlipoproteinemias. Parenteral levocarnitine is indicated for the prevention and treatment of carnitine deficiency in patients with end-stage renal disease."
Levocetirizine,Levocetirizine is indicated to treat symptoms of perennial allergic rhinitis and uncomplicated skin manifestations of chronic idiopathic urticaria.[L7694] It is also used over the counter for a variety of mild allergy symptoms.[A181748]
Levodopa,"Levodopa on its own is formulated as an oral inhalation powder indicated for intermittent treatment of off episodes in Parkinson's patients who are already being treated with carbidopa and levodopa[FDA Label]. Levodopa is most commonly formulated as an oral tablet with a peripheral dopa decarboxylase inhibitor indicated for treatment of Parkinson's disease, post-encephalitic parkinsonism, and symptomatic parkinsonism following carbon monoxide intoxication or manganese intoxication[F4579]."
Levofloxacin,"In oral and intravenous formulations, levofloxacin is indicated in adults for the treatment of various infections caused by susceptible bacteria, including infections of the upper respiratory tract, lower respiratory tract, skin, skin structures, urinary tract, and prostate.[L11638,L11692] The oral formulation is also indicated in both adults and children 6 months of age and older for the post-exposure management of inhalational anthrax caused by _Bacillus anthracis_ and for the treatment and/or prophylaxis of plague caused by _Yersinia pestis_.[L11638] In its ophthalmic formulation, levofloxacin is indicated for the treatment of bacterial conjunctivitis caused by susceptible organisms.[L11641] An inhalational solution available in Canada is indicated for the management of cystic fibrosis patients aged 18 years or older with chronic pulmonary _Pseudomonas aeruginosa_ infections.[L11689]"
Levoketoconazole,Levoketoconazole is indicated for the treatment of endogenous hypercortisolemia in adult patients with Cushing’s syndrome for whom surgery is not an option or has not been curative. Levoketoconazole is not indicated for the treatment of fungal infections.[L39563]
Levoleucovorin,"Levoleucovorin is indicated for use as rescue therapy following high-dose methotrexate in the treatment of osteosarcoma or for diminishing the toxicity associated with inadvertent overdosage of folic acid antagonists. Levoleucovorin, as the product Fusilev (FDA, dosed at one-half the usual dose of racemic d,l-leucovorin), has an additional indication for use in combination chemotherapy with 5-fluorouracil in the palliative treatment of patients with advanced metastatic colorectal cancer (although they should not be mixed in the same infusion as a precipitate may form)."
Levomefolic acid,"For the treatment and prevention of folate deficiency and for use as an antidote against folic acid antagonists. Contained in oral contraceptives to reduce the risk of neural tube defects arising from folic acid deficiency for pregnant women who conceived during use or shortly after the discontinuation of the product. Being studied for use as a treatment for cardiovascular diseases [A19273] and adjunct therapy for patients undergoing antidepressant pharmacotherapy [A19271, A19272]."
Levomenol,"Levomenol has been known to elicit a number of potentially beneficial pharmacological effects, including anti-irritant, anti-inflammatory, and anti-microbial actions. Bisabolol is also demonstrated to enhance the percutaneous absorption of certain molecules"
Levomenthol,"Used to treat occasional minor irritation, pain, sore mouth, and sore throat as well as cough associated with a cold or inhaled irritants."
Levomilnacipran,Levomilnacipran is a serotonin and norepinephrine reuptake inhibitor indicated for the treatment of major depressive disorder (MDD) in adults.[L47946]
Levonordefrin,Used as a topical nasal decongestant and vasoconstrictor in dentistry.
Levonorgestrel,"**Emergency contraception** Levonorgestrel, in the single-agent emergency contraceptive form, is indicated for the prevention of pregnancy after the confirmed or suspected failure of contraception methods or following unprotected intercourse. It is distributed by prescription for patients under 17, and over the counter for those above this age.[L7760] This levonorgestrel-only form of contraception is not indicated for regular contraception and must be taken as soon as possible within 72 hours after intercourse.[A181976,L7760] It has shown a lower efficacy when it is used off label within 96 hours.[T659] **Long-term contraception or nonemergency contraception** In addition to the above indication in emergency contraception, levonorgestrel is combined with other contraceptives in contraceptive formulations designed for regular use, for example with ethinyl estradiol.[L7766] It is used in various hormone-releasing intrauterine devices for long-term contraception ranging for a duration of 3-5 years.[L7778,L7781,L7787] Product labeling for Mirena specifically mentions that it is recommended in women who have had at least 1 child and can be indicated for the prevention of pregnancy for up to 8 years.[L7778,L42950] A subdermal implant is also available for the prevention of pregnancy for up to 5 years.[L7823] **Hormone therapy and off-label uses** Levonorgestrel is prescribed in combination with estradiol as hormone therapy during menopause to manage vasomotor symptoms and to prevent osteoporosis.[L7805]Off-label, levonorgestrel may be used to treat menorrhagia, endometrial hyperplasia, and endometriosis.[T659]"
Levorphanol,For the management of moderate to severe pain or as a preoperative medication where an opioid analgesic is appropriate.
Levosalbutamol,"Indicated for the management of COPD (chronic obstructive pulmonary disease, also known as chronic obstructive lung disease) and asthma."
Levosimendan,For short term treatment of acutely decompensated severe chronic heart failure (CHF). Also being investigated for use/treatment in heart disease.
Levothyroxine,"Levothyroxine is indicated as replacement therapy in primary (thyroidal), secondary (pituitary) and tertiary (hypothalamic) congenital or acquired hypothyroidism. It is also indicated as an adjunct to surgery and radioiodine therapy in the management of thyrotropin-dependent well-differentiated thyroid cancer."
Lidocaine,"Lidocaine is an anesthetic of the amide group indicated for production of local or regional anesthesia by infiltration techniques such as percutaneous injection and intravenous regional anesthesia by peripheral nerve block techniques such as brachial plexus and intercostal and by central neural techniques such as lumbar and caudal epidural blocks [F4349, L5930]."
Lifileucel,"Lifileucel is indicated for the treatment of adult patients with unresectable or metastatic melanoma previously treated with a PD-1 blocking antibody, and if BRAF V600 mutation-positive, a BRAF inhibitor with or without a MEK inhibitor. This indication is approved under accelerated approval based on an objective response rate (ORR). Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial(s).[L50171]"
Lifitegrast,For the treatment of signs and symptoms of keratoconjunctivitis sicca (dry eye syndrome).
Linaclotide,"Linaclotide is indicated for the treatment of irritable bowel syndrome with constipation in adults. This indication is approved in the US, Canada, and Europe.[L47211, L47216, L47221] In the US and Canada, it is also indicated for the treatment of chronic idiopathic constipation in adults.[L47211, L47221] In the US, it is also indicated for the treatment of functional constipation in pediatric patients 6 to 17 years of age.[L47211]"
Linagliptin,"Linagliptin is indicated for the treatment of type II diabetes in addition to diet and exercise[L9557]. It should not be used to treat type I diabetes or in diabetic ketoacidosis.[L9557] An extended-release combination product containing empagliflozin, linagliptin, and metformin was approved by the FDA in January 2020 for the improvement of glycemic control in adults with type 2 diabetes mellitus when used adjunctively with diet and exercise.[L11479]"
Lincomycin,"Lincomycin is indicated for the treatment of serious bacterial infections by susceptible strains of streptococci, pneumococci, and staphylococci in patients who are allergic to penicillins or for situations in which a penicillin is deemed inappropriate. As with all antibacterial agents, lincomycin should only be used to treat infections proven or strongly suspected to be caused by susceptible bacteria.[L33214]"
Lindane,"For the treatment of patients infested with Sarcoptes scabiei or pediculosis capitis who have either failed to respond to adequate doses, or are intolerant of other approved therapies."
Linezolid,"Linezolid is indicated in adults and children for the treatment of infections caused by susceptible Gram-positive bacteria, including nosocomial pneumonia, community-acquired pneumonia, skin and skin structure infections, and vancomycin-resistant _Enterococcus faecium_ infections.[L32965] Examples of susceptible bacteria include _Staphylococcus aureus_, _Streptococcus pneumoniae_, _Streptococcus pyogenes_, and _Streptococcus agalactiae_.[L32965] Linezolid is not indicated for the treatment of Gram-negative infections, nor has it been evaluated for use longer than 28 days.[L32965]"
Linzagolix,Linzagolix is indicated for the treatment of moderate to severe symptoms of uterine fibroids in adult women of reproductive age.[L43627]
Liothyronine,"Liothyronine is officially approved for the following indications: - Replacement therapy in primary (thyroidal), secondary (pituitary) and tertiary (hypothalamic) congenital or acquired hypothyroidism. - As an adjunct therapy to surgery and radioiodine in the management of thyroid cancer. - As a diagnostic agent in suppression tests for mild hyperthyroidism or thyroid gland autonomy.[FDA label] In general terms, exogenous liothyronine is used to replace insufficient hormonal production and restore T3 plasma levels.[T457] The lack of liothyronine can be presented as a pale and puffy face, coarse, brittle hair, dry skin, croaky voice and constipation as well as irregular periods, drowsiness, and lethargy.[T457] Liothyronine should never be used in the suppression of benign nodules and nontoxic diffuse goiter in iodine-sufficient patients nor in the treatment of hyperthyroidism during the recovery phase of subacute thyroiditis.[FDA label]"
Liotrix,"May be used to treat primary, secondary or tertiary hypothyroidism. May also be used to suppress thyroid stimulating hormone (TSH) secretion in patients with simple (nontoxic) goiter, subacute or chronic lymphocytic thyroiditis multinodular goiter, and in the management of thyroid cancer. May be used in conjunction with other antithyroid agents to treat thyrotoxicosis to prevent goitrogenesis and hypothyroidism. May also be used for differential diagnosis of suspected mild hyperthyroidism or thyroid gland autonomy."
Lipegfilgrastim,Indicated for the reduction in the duration of neutropenia and the incidence of febrile neutropenia in adult patients treated with cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes) [L2441].
Lipoic acid,"For nutritional supplementation, also for treating dietary shortage or imbalance."
Liraglutide,"Saxenda, a formulation of liraglutide intended for weight loss, is indicated as an adjunct to diet and exercise for chronic weight management in adult patients who are obese (BMI≥30 kg/m<sup>2</sup>), or who are overweight (BMI≥27 kg/m<sup>2</sup>) and have at least one weight-related comorbidity. It is also indicated for chronic weight management in pediatric patients ≥12 years old who weigh ≥60 kg and have an initial BMI corresponding to obesity based on international cut-offs.[L38839] Victoza, a formulation of liraglutide used in diabetes, is indicated as an adjunct to diet and exercise to improve glycemic control in patients ≥10 years old with type 2 diabetes mellitus. It is also indicated to reduce the risk of major adverse cardiovascular events in adult patients with type 2 diabetes and established cardiovascular disease.[L38839] Liraglutide is also available in combination with [insulin degludec] as an adjunct to diet and exercise to improve glycemic control in adult patients with type 2 diabetes mellitus.[L38844]"
Lisdexamfetamine,"Lisdexamfetamine is indicated for the treatment of attention deficit hyperactivity disorder (ADHD) in adults and pediatric patients six years and older. It is also indicated to treat moderate to severe binge eating disorder (BED) in adults.[L48280, L48285] It is approved for use in the US and Canada."
Lisinopril,"Lisinopril is indicated for the treatment of acute myocardial infarction, hypertension in patients ≥6 years, and as an adjunct therapy for heart failure.[L8384,L8387] A combination product with hydrochlorothiazide is indicated for the treatment of hypertension.[L8390]"
Lisocabtagene maraleucel,"Lisocabtagene maraleucel is indicated to treat adult patients with large B-cell lymphoma (LBCL), including diffuse large B-cell lymphoma (DLBCL) not otherwise specified (including DLBCL arising from indolent lymphoma), high-grade B-cell lymphoma, primary mediastinal large B-cell lymphoma, and follicular lymphoma grade 3B, who meet one of the following criteria:[L31588,L42205] - refractory disease to first-line chemoimmunotherapy or relapse within 12 months of first-line chemoimmunotherapy - refractory disease to first-line chemoimmunotherapy or relapse after first-line chemoimmunotherapy and are not eligible for hematopoietic stem cell transplantation (HSCT) due to comorbidities or age - relapsed or refractory disease after 2 or more lines of systemic therapy It is also indicated in several other cancers, including in:[L31588] - adult patients with relapsed or refractory chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL) who have received ≥2 prior lines of therapy, including a Bruton tyrosine kinase (BTK) inhibitor and a B-cell lymphoma 2 (BCL-2) inhibitor - adult patients with relapsed or refractory follicular lymphoma (FL) who have received 2 or more prior lines of systemic therapy - adult patients with relapsed or refractory mantle cell lymphoma (MCL) who have received at least 2 prior lines of systemic therapy, including a Bruton tyrosine kinase (BTK) inhibitor"
Lisuride,For the management of Parkinson's Disease
Lithium carbonate,Lithium carbonate is indicated as a monotherapy for the treatment of acute manic and mixed episodes associated with bipolar 1 disorder in patients ≥7 years of age.[L1275] It is also indicated as a maintenance treatment for bipolar 1 disorder in patients ≥7 years of age.[L1275]
Lithium citrate,"Lithium is used as a mood stabilizer, and is used for treatment of depression and mania. It is often used in bipolar disorder treatment."
Lixisenatide,Lixisenatide is indicated as an adjunct to diet and exercise to improve glycemic control in adult patients with type II diabetes mellitus.[L48400] It is also available in combination with [insulin glargine] for the same indication.[L48405]
Lodoxamide,"Indicated in the treatment of the ocular disorders referred to by the terms vernal keratoconjunctivitis, vernal conjunctivitis, and vernal keratitis."
Lofexidine,"Lofexidine is indicated for mitigation of symptoms associated with acute withdrawal from opioids and for facilitation of the completion of opioid discontinuation treatment. It is the first non-opioid medication for the symptomatic management of opioid discontinuation.[L2801] Opioid withdrawal syndrome is a debilitating manifestation of opioid dependence.[A33085] This condition is extremely unpleasant lasting several days with some of the main features being abdominal pain, nausea, diarrhea, mydriasis, lacrimation, and piloerection. These symptoms are often observed after abrupt reductions in the opioid dose and can be resolved by re-administration of the opioid.[A33088]"
Lolium perenne pollen,Lolium perenne pollen is an allergen extract included in an allergenic testing product called ORALAIR. It is indicated as immunotherapy for the treatment of grass pollen-induced allergic rhinitis with or without conjunctivitis confirmed by positive skin test or in vitro testing for pollen38 specific IgE antibodies for any of the five grass species contained in this product. ORALAIR is approved for use in persons 5 through 65 years of age.[L41190]
Lomefloxacin,"For the treatment of bacterial infections of the respiratory tract (chronic bronchitis) and urinary tract, and as a pre-operative prophylactic to prevent urinary tract infection caused by: <i>S.pneumoniae</i>, <i>H.influenzae</i>, <i>S.aureus</i>, <i>P.aeruginosa</i>, <i>E. cloacae</i>, <i>P. mirabilis</i>, <i>C. civersus</i>, <i>S. asprphyticus</i>, <i>E.coli</i>, and <i>K.pneumoniae</i>."
Lomitapide,"Used in homozygous familial hypercholesterolemia (HoFH) patients to reduce low-density lipoprotein cholesterol (LDL-C), total cholesterol (TC), apolipoprotein B (apo B), and non-high-density lipoprotein cholesterol (non-HDL-C)."
Lomustine,For the treatment of primary and metastatic brain tumors as a component of combination chemotherapy in addition to appropriate surgical and/or radiotherapeutic procedures. Also used in combination with other agents as secondary therapy for the treatment of refractory or relapsed Hodgkin's disease.
Lonafarnib,Lonafarnib is a farnesyltransferase inhibitor indicated in patients aged 12 months and older with a body surface area of at least 0.39 m<sup>2</sup> to reduce the risk of mortality associated with Hutchinson-Gilford progeria syndrome (HGPS). It is also indicated in this same population for the treatment of processing-deficient progeroid laminopathies that either involve a heterozygous _LMNA_ mutation resulting in the accumulation of a progerin-like protein or homozygous/compound heterozygous mutations in _ZMPSTE24_.[L23414]
Lonapegsomatropin,"In the US, lonepegsomatropin is indicated in the treatment of growth failure due to inadequate growth hormone secretion in patients one year and older who weigh at least 11.5 kg.[L36380] In Europe, lonepegsomatropin is indicated to treat growth failure in children and adolescents aged from three years up to 18 years due to insufficient endogenous growth hormone secretion or growth hormone deficiency.[L40139]"
Loncastuximab tesirine,"Loncastuximab tesirine is indicated for the treatment of adults with relapsed or refractory large B-cell lymphoma who have undergone two or more prior lines of systemic therapy, including diffuse large B-cell lymphoma (DLBCL) not otherwise specified, DLBCL arising from low-grade lymphoma, and high-grade B-cell lymphoma. The above indication is approved under accelerated FDA approval following the results of clinical studies. Continued approval is dependant upon the results of confirmatory clinical trials.[L33529] In Europe, Loncastuximab tesirine is approved for treatment of both adult and pediatric patients aged 12 years old or older for relapsed or refractory diffuse large B-cell lymphoma (DLBCL) and high-grade B-cell lymphoma (HGBL) after two or more lines of systemic therapy.[L45211]"
Lonoctocog alfa,"For the treatment of hemophilia A, von Willebrand disease and Factor XIII deficiency."
Loperamide,"Loperamide is indicated for the relief of diarrhea, including Travelers’ Diarrhea.[L42785] As an off-label use, it is often used to manage chemotherapy-related diarrhea.[A251610]"
Lopinavir,"The combination product lopinavir/ritonavir, marketed under the brand name Kaletra, is indicated in combination with other antiretrovirals for the treatment of HIV-1 infection in adults and pediatric patients ≥14 days old.[L11163]"
